0X0CFF00 0XC2
0X0CFF5A 0XA1
0X0CFF5B 0XF6
0X0CFF5C 0X3E
0X0CFF5D 0X45
0X0CFF5E 0XF4
0X0CFF5F 0X9E
0X0CFF60 0XE5
0X0CFF61 0X6B
0X0CFF62 0X6B
0X0CFF63 0X6B
0X0CFF64 0XAA
0X0CFF65 0X6D
0X0CFF66 0XE7
0X0CFF67 0X49
0X0CFF68 0X10
0X0CFF69 0XD3
0X0CFF6A 0X87
0X0CFF6B 0X9B
0X0CFF6C 0X92
0X0CFF6D 0X9A
0X0CFF6E 0XDB
0X0CFF6F 0X81
0X0CFF70 0X81
0X0CFF71 0X2B
0X0CFF72 0X1E
0X0CFF73 0X31
0X0CFF74 0X08
0X0CFF75 0X97
0X0CFF76 0XC7
0X0CFF77 0X80
0X0CFF78 0X99
0X0CFF79 0X6D
0X0CFF7A 0X91
0X0CFF7B 0X4C
0X0CFF7C 0XE1
0X0CFF7D 0X21
0X0CFF7E 0X8B
0X0CFF7F 0X01
0X0CFF80 0XCD
0X0CFF81 0XD0
0X0CFF82 0X4E
0X0CFF83 0XD7
0X0CFF84 0X19
0X0CFF85 0XD7
0X0CFF86 0X9C
0X0CFF87 0X51
0X0CFF88 0XBC
0X0CFF89 0X45
0X0CFF8A 0X60
0X0CFF8B 0X52
0X0CFF8C 0X95
0X0CFF8D 0X87
0X0CFF8E 0X3F
0X0CFF8F 0XF7
0X0CFF90 0XF6
0X0CFF91 0XDD
0X0CFF92 0X10
0X0CFF93 0X1E
0X0CFF94 0X61
0X0CFF95 0X28
0X0CFF96 0X7A
0X0CFF97 0X13
0X0CFF98 0XB8
0X0CFF99 0X28
0X0CFF9A 0XAB
0X0CFF9B 0X12
0X0CFF9C 0XCA
0X0CFF9D 0X6F
0X0CFF9E 0X18
0X0CFF9F 0X71
0X0CFFA0 0X7B
0X0CFFA1 0X9F
0X0CFFA2 0XC0
0X0CFFA3 0X9D
0X0CFFA4 0XE2
0X0CFFA5 0X82
0X0CFFA6 0X4C
0X0CFFA7 0X21
0X0CFFA8 0X91
0X0CFFA9 0XF5
0X0CFFAA 0XBD
0X0CFFAB 0X87
0X0CFFAC 0X24
0X0CFFAD 0X1A
0X0CFFAE 0XB6
0X0CFFAF 0XB0
0X0CFFB0 0XAD
0X0CFFB1 0X4A
0X0CFFB2 0XA2
0X0CFFB3 0XB4
0X0CFFB4 0XA8
0X0CFFB5 0X14
0X0CFFB6 0X3E
0X0CFFB7 0X0E
0X0CFFB8 0XDD
0X0CFFB9 0X74
0X0CFFBA 0XDD
0X0CFFBB 0XFD
0X0CFFBC 0XE1
0X0CFFBD 0XBB
0X0CFFBE 0X3D
0X0CFFBF 0X48
0X0CFFC0 0X6E
0X0CFFC1 0X95
0X0CFFC2 0X3E
0X0CFFC3 0X85
0X0CFFC4 0X78
0X0CFFC5 0X21
0X0CFFC6 0X37
0X0CFFC7 0X33
0X0CFFC8 0X39
0X0CFFC9 0X24
0X0CFFCA 0X38
0X0CFFCB 0X9B
0X0CFFCC 0X38
0X0CFFCD 0XE8
0X0CFFCE 0X6A
0X0CFFCF 0XC5
0X0CFFD0 0X25
0X0CFFD1 0X04
0X0CFFD2 0XE4
0X0CFFD3 0XD6
0X0CFFD4 0X1C
0X0CFFD5 0X75
0X0CFFD6 0X23
0X0CFFD7 0X07
0X0CFFD8 0XBF
0X0CFFD9 0X7B
0X0CFFDA 0X0F
0X0CFFDB 0X19
0X0CFFDC 0XA1
0X0CFFDD 0XB6
0X0CFFDE 0XD4
0X0CFFDF 0XE2
0X0CFFE0 0XD2
0X0CFFE1 0X2A
0X0CFFE2 0X38
0X0CFFE3 0X5A
0X0CFFE4 0X8F
0X0CFFE5 0X87
0X0CFFE6 0X1C
0X0CFFE7 0X96
0X0CFFE8 0X85
0X0CFFE9 0XCE
0X0CFFEA 0X18
0X0CFFEB 0XE4
0X0CFFEC 0X1C
0X0CFFED 0X9B
0X0CFFEE 0X08
0X0CFFEF 0X2E
0X0CFFF0 0X26
0X0CFFF1 0XB8
0X0CFFF2 0X90
0X0CFFF3 0X58
0X0CFFF4 0XB9
0X0CFFF5 0X78
0X0CFFF6 0X94
0X0CFFF7 0X78
0X0CFFF8 0X21
0X0CFFF9 0XE0
0X0CFFFA 0XC4
0X0CFFFB 0X6A
0X0CFFFC 0X2E
0X0CFFFD 0X4A
0X0CFFFE 0XB3
0X0CFFFF 0XC5
