0X04FF00 0XC1
0X04FFD7 0XD6
0X04FFD8 0X85
0X04FFD9 0X11
0X04FFDA 0X12
0X04FFDB 0X69
0X04FFDC 0XCF
0X04FFDD 0X81
0X04FFDE 0XD3
0X04FFDF 0X83
0X04FFE0 0X36
0X04FFE1 0X84
0X04FFE2 0X33
0X04FFE3 0X19
0X04FFE4 0X5E
0X04FFE5 0X29
0X04FFE6 0XAE
0X04FFE7 0X9B
0X04FFE8 0XDB
0X04FFE9 0XB3
0X04FFEA 0X5F
0X04FFEB 0X2C
0X04FFEC 0XDE
0X04FFED 0X38
0X04FFEE 0X90
0X04FFEF 0X63
0X04FFF0 0XD5
0X04FFF1 0X5F
0X04FFF2 0X74
0X04FFF3 0X94
0X04FFF4 0X29
0X04FFF5 0XD3
0X04FFF6 0X9A
0X04FFF7 0XF9
0X04FFF8 0X3F
0X04FFF9 0X29
0X04FFFA 0X2F
0X04FFFB 0XA9
0X04FFFC 0XD0
0X04FFFD 0XAD
0X04FFFE 0XBE
0X04FFFF 0XE5
