0X07FF00 0XC9
0X07FF90 0X25
0X07FF91 0XE7
0X07FF92 0XA6
0X07FF93 0XD8
0X07FF94 0XC0
0X07FF95 0X5B
0X07FF96 0X60
0X07FF97 0X0D
0X07FF98 0X8D
0X07FF99 0XDD
0X07FF9A 0X19
0X07FF9B 0X3C
0X07FF9C 0XA2
0X07FF9D 0X66
0X07FF9E 0X93
0X07FF9F 0XA4
0X07FFA0 0X57
0X07FFA1 0XB6
0X07FFA2 0X26
0X07FFA3 0X1A
0X07FFA4 0X4A
0X07FFA5 0XC6
0X07FFA6 0XA4
0X07FFA7 0X0A
0X07FFA8 0X29
0X07FFA9 0XA3
0X07FFAA 0X0A
0X07FFAB 0XB0
0X07FFAC 0XE7
0X07FFAD 0X6B
0X07FFAE 0XA4
0X07FFAF 0X1C
0X07FFB0 0X0E
0X07FFB1 0X77
0X07FFB2 0XB9
0X07FFB3 0X0F
0X07FFB4 0XA2
0X07FFB5 0XBA
0X07FFB6 0XB9
0X07FFB7 0XCD
0X07FFB8 0XEA
0X07FFB9 0X4B
0X07FFBA 0X1A
0X07FFBB 0X37
0X07FFBC 0X66
0X07FFBD 0X0E
0X07FFBE 0XDE
0X07FFBF 0XD9
0X07FFC0 0X74
0X07FFC1 0XA0
0X07FFC2 0X2D
0X07FFC3 0X02
0X07FFC4 0X45
0X07FFC5 0XFE
0X07FFC6 0X40
0X07FFC7 0X07
0X07FFC8 0X5B
0X07FFC9 0XD4
0X07FFCA 0X5D
0X07FFCB 0XFE
0X07FFCC 0X76
0X07FFCD 0X67
0X07FFCE 0XF8
0X07FFCF 0X94
0X07FFD0 0X66
0X07FFD1 0XD0
0X07FFD2 0X66
0X07FFD3 0X20
0X07FFD4 0X3E
0X07FFD5 0X4D
0X07FFD6 0XB1
0X07FFD7 0X4A
0X07FFD8 0X50
0X07FFD9 0X0E
0X07FFDA 0X8B
0X07FFDB 0X3A
0X07FFDC 0X6F
0X07FFDD 0XEF
0X07FFDE 0X14
0X07FFDF 0X35
0X07FFE0 0X44
0X07FFE1 0X2B
0X07FFE2 0X3B
0X07FFE3 0X84
0X07FFE4 0XFD
0X07FFE5 0XB1
0X07FFE6 0XC1
0X07FFE7 0X66
0X07FFE8 0X00
0X07FFE9 0XD2
0X07FFEA 0X94
0X07FFEB 0X2C
0X07FFEC 0X1B
0X07FFED 0X37
0X07FFEE 0X74
0X07FFEF 0X21
0X07FFF0 0XDB
0X07FFF1 0X66
0X07FFF2 0X54
0X07FFF3 0X0B
0X07FFF4 0X19
0X07FFF5 0X92
0X07FFF6 0X32
0X07FFF7 0XB0
0X07FFF8 0X25
0X07FFF9 0X52
0X07FFFA 0X0B
0X07FFFB 0XF5
0X07FFFC 0X5F
0X07FFFD 0X57
0X07FFFE 0XEF
0X07FFFF 0X07
