IV,Cypher
0X04FF38,0X13
0X04FF39,0XDC
0X04FF3A,0XD9
0X04FF3B,0XFF
0X04FF3C,0XAF
0X04FF3D,0X5D
0X04FF3E,0XE9
0X04FF3F,0XC7
0X04FF40,0XD4
0X04FF41,0X81
0X04FF42,0X4C
0X04FF43,0X0F
0X04FF44,0X64
0X04FF45,0X93
0X04FF46,0X8B
0X04FF47,0X9A
0X04FF48,0X1B
0X04FF49,0X20
0X04FF4A,0X84
0X04FF4B,0XF8
0X04FF4C,0X48
0X04FF4D,0X40
0X04FF4E,0XFA
0X04FF4F,0X85
0X04FF50,0XE2
0X04FF51,0XC6
0X04FF52,0XD9
0X04FF53,0X4B
0X04FF54,0X5A
0X04FF55,0X0C
0X04FF56,0XA6
0X04FF57,0X87
0X04FF58,0XF1
0X04FF59,0XD4
0X04FF5A,0XEF
0X04FF5B,0X93
0X04FF5C,0X16
0X04FF5D,0X92
0X04FF5E,0X64
0X04FF5F,0X1E
0X04FF60,0X7D
0X04FF61,0X89
0X04FF62,0XFA
0X04FF63,0XCF
0X04FF64,0X41
0X04FF65,0X1D
0X04FF66,0XE0
0X04FF67,0X43
0X04FF68,0XA8
0X04FF69,0X67
0X04FF6A,0X79
0X04FF6B,0XE1
0X04FF6C,0X77
0X04FF6D,0XF1
0X04FF6E,0X76
0X04FF6F,0XC6
0X04FF70,0XE2
0X04FF71,0X01
0X04FF72,0X9A
0X04FF73,0X62
0X04FF74,0X5F
0X04FF75,0XFA
0X04FF76,0XCE
0X04FF77,0X9E
0X04FF78,0XDB
0X04FF79,0XC1
0X04FF7A,0X73
0X04FF7B,0XE6
0X04FF7C,0X2A
0X04FF7D,0X32
0X04FF7E,0X8B
0X04FF7F,0XE0
0X04FF80,0X8D
0X04FF81,0X61
0X04FF82,0XDD
0X04FF83,0X07
0X04FF84,0XA9
0X04FF85,0XC6
0X04FF86,0X44
0X04FF87,0X4B
0X04FF88,0X1A
0X04FF89,0XFC
0X04FF8A,0X11
0X04FF8B,0XFD
0X04FF8C,0X65
0X04FF8D,0X83
0X04FF8E,0X7E
0X04FF8F,0XE4
0X04FF90,0X67
0X04FF91,0XAB
0X04FF92,0X70
0X04FF93,0X12
0X04FF94,0X39
0X04FF95,0X64
0X04FF96,0XCA
0X04FF97,0XBB
0X04FF98,0X7D
0X04FF99,0X59
0X04FF9A,0XC7
0X04FF9B,0XDC
0X04FF9C,0XE0
0X04FF9D,0XC6
0X04FF9E,0X84
0X04FF9F,0X17
0X04FFA0,0XC6
0X04FFA1,0X09
0X04FFA2,0X66
0X04FFA3,0XAF
0X04FFA4,0XD4
0X04FFA5,0XF7
0X04FFA6,0XB8
0X04FFA7,0X23
0X04FFA8,0XC9
0X04FFA9,0X7D
0X04FFAA,0XB3
0X04FFAB,0X14
0X04FFAC,0X34
0X04FFAD,0XB8
0X04FFAE,0X58
0X04FFAF,0X20
0X04FFB0,0X5A
0X04FFB1,0XFC
0X04FFB2,0X78
0X04FFB3,0XE5
0X04FFB4,0X3C
0X04FFB5,0XFD
0X04FFB6,0XE1
0X04FFB7,0X39
0X04FFB8,0X78
0X04FFB9,0X16
0X04FFBA,0XAC
0X04FFBB,0X51
0X04FFBC,0X46
0X04FFBD,0X1F
0X04FFBE,0X0E
0X04FFBF,0XD3
0X04FFC0,0X60
0X04FFC1,0X64
0X04FFC2,0XC6
0X04FFC3,0X19
0X04FFC4,0X1B
0X04FFC5,0X8C
0X04FFC6,0X98
0X04FFC7,0X1B
0X04FFC8,0X12
0X04FFC9,0XAE
0X04FFCA,0X04
0X04FFCB,0X69
0X04FFCC,0X24
0X04FFCD,0XE8
0X04FFCE,0X2F
0X04FFCF,0XCD
0X04FFD0,0XC6
0X04FFD1,0X51
0X04FFD2,0X5A
0X04FFD3,0X66
0X04FFD4,0XC6
0X04FFD5,0X2B
0X04FFD6,0X68
0X04FFD7,0X1B
0X04FFD8,0XFF
0X04FFD9,0X5E
0X04FFDA,0X1E
0X04FFDB,0X4F
0X04FFDC,0XF2
0X04FFDD,0XF4
0X04FFDE,0XA8
0X04FFDF,0XC0
0X04FFE0,0X06
0X04FFE1,0XFE
0X04FFE2,0X4D
0X04FFE3,0X46
0X04FFE4,0XD9
0X04FFE5,0XF3
0X04FFE6,0XC0
0X04FFE7,0X9C
0X04FFE8,0X12
0X04FFE9,0X86
0X04FFEA,0X2E
0X04FFEB,0X9C
0X04FFEC,0XDE
0X04FFED,0XA7
0X04FFEE,0X7C
0X04FFEF,0XA4
0X04FFF0,0XB3
0X04FFF1,0X3F
0X04FFF2,0X20
0X04FFF3,0XD2
0X04FFF4,0X5F
0X04FFF5,0X35
0X04FFF6,0XFE
0X04FFF7,0X3B
0X04FFF8,0XF3
0X04FFF9,0X08
0X04FFFA,0X03
0X04FFFB,0X9F
0X04FFFC,0XD4
0X04FFFD,0X63
0X04FFFE,0XC9
0X04FFFF,0XE0
0X05FF00,0XD0
0X05FF01,0X7D
0X05FF02,0XFA
0X05FF03,0X96
0X05FF04,0X97
0X05FF05,0X22
0X05FF06,0XEF
0X05FF07,0X0F
0X05FF08,0XCF
0X05FF09,0XCC
0X05FF0A,0X99
0X05FF0B,0XD3
0X05FF0C,0X08
0X05FF0D,0X3E
0X05FF0E,0XAC
0X05FF0F,0X0C
0X05FF10,0XF3
0X05FF11,0XEF
0X05FF12,0XE6
0X05FF13,0X9D
0X05FF14,0XF0
0X05FF15,0X18
0X05FF16,0XFD
0X05FF17,0X2E
0X05FF18,0X7D
0X05FF19,0X2F
0X05FF1A,0XB2
0X05FF1B,0XE8
0X05FF1C,0X3A
0X05FF1D,0X75
0X05FF1E,0X1E
0X05FF1F,0XC7
0X05FF20,0XF8
0X05FF21,0X52
0X05FF22,0X73
0X05FF23,0XC7
0X05FF24,0X61
0X05FF25,0XC4
0X05FF26,0XC7
0X05FF27,0X55
0X05FF28,0X1B
0X05FF29,0X10
0X05FF2A,0X3F
0X05FF2B,0XBE
0X05FF2C,0X9D
0X05FF2D,0XD9
0X05FF2E,0X9A
0X05FF2F,0X2F
0X05FF30,0X4C
0X05FF31,0XBE
0X05FF32,0X5E
0X05FF33,0X8D
0X05FF34,0XB5
0X05FF35,0XAA
0X05FF36,0X45
0X05FF37,0XA2
0X05FF38,0X28
0X05FF39,0X57
0X05FF3A,0XE0
0X05FF3B,0XCB
0X05FF3C,0XE7
0X05FF3D,0X1C
0X05FF3E,0XBB
0X05FF3F,0X80
0X05FF40,0XE3
0X05FF41,0X7B
0X05FF42,0XC7
0X05FF43,0XD1
0X05FF44,0XDC
0X05FF45,0X3B
0X05FF46,0X31
0X05FF47,0X60
0X05FF48,0X62
0X05FF49,0X1C
0X05FF4A,0XE2
0X05FF4B,0X29
0X05FF4C,0X9C
0X05FF4D,0X31
0X05FF4E,0X3B
0X05FF4F,0XC7
0X05FF50,0X20
0X05FF51,0X33
0X05FF52,0X21
0X05FF53,0XC7
0X05FF54,0X9C
0X05FF55,0X64
0X05FF56,0X18
0X05FF57,0XCA
0X05FF58,0X1B
0X05FF59,0X11
0X05FF5A,0XDA
0X05FF5B,0X99
0X05FF5C,0X88
0X05FF5D,0X6F
0X05FF5E,0X3E
0X05FF5F,0XC7
0X05FF60,0XB5
0X05FF61,0XDD
0X05FF62,0X44
0X05FF63,0X42
0X05FF64,0XA8
0X05FF65,0X58
0X05FF66,0XE0
0X05FF67,0X61
0X05FF68,0X81
0X05FF69,0XE9
0X05FF6A,0X5B
0X05FF6B,0X59
0X05FF6C,0XE6
0X05FF6D,0X79
0X05FF6E,0X7D
0X05FF6F,0X71
0X05FF70,0X32
0X05FF71,0XAE
0X05FF72,0XD4
0X05FF73,0X48
0X05FF74,0X07
0X05FF75,0X24
0X05FF76,0XC4
0X05FF77,0XAE
0X05FF78,0XC7
0X05FF79,0XEE
0X05FF7A,0X93
0X05FF7B,0X43
0X05FF7C,0XDB
0X05FF7D,0X80
0X05FF7E,0X88
0X05FF7F,0X32
0X05FF80,0X2F
0X05FF81,0XB0
0X05FF82,0X11
0X05FF83,0XC7
0X05FF84,0X85
0X05FF85,0X14
0X05FF86,0X08
0X05FF87,0XC7
0X05FF88,0X26
0X05FF89,0X43
0X05FF8A,0X8C
0X05FF8B,0X00
0X05FF8C,0X99
0X05FF8D,0X70
0X05FF8E,0X77
0X05FF8F,0X92
0X05FF90,0XC7
0X05FF91,0X16
0X05FF92,0X04
0X05FF93,0X01
0X05FF94,0XD9
0X05FF95,0X56
0X05FF96,0X29
0X05FF97,0XE5
0X05FF98,0XC7
0X05FF99,0XFB
0X05FF9A,0X9E
0X05FF9B,0X53
0X05FF9C,0X3A
0X05FF9D,0X1E
0X05FF9E,0XCC
0X05FF9F,0X02
0X05FFA0,0X5F
0X05FFA1,0X44
0X05FFA2,0XF4
0X05FFA3,0X50
0X05FFA4,0X02
0X05FFA5,0X6A
0X05FFA6,0X37
0X05FFA7,0X49
0X05FFA8,0X81
0X05FFA9,0X7E
0X05FFAA,0XD3
0X05FFAB,0XE3
0X05FFAC,0XD4
0X05FFAD,0X14
0X05FFAE,0XD8
0X05FFAF,0X82
0X05FFB0,0X9C
0X05FFB1,0XF3
0X05FFB2,0X1A
0X05FFB3,0X5B
0X05FFB4,0XB9
0X05FFB5,0X10
0X05FFB6,0XC2
0X05FFB7,0X8D
0X05FFB8,0X9F
0X05FFB9,0X9F
0X05FFBA,0XB7
0X05FFBB,0XD3
0X05FFBC,0X4C
0X05FFBD,0XA0
0X05FFBE,0X62
0X05FFBF,0XF6
0X05FFC0,0XC7
0X05FFC1,0X9D
0X05FFC2,0X0C
0X05FFC3,0X68
0X05FFC4,0XAA
0X05FFC5,0X82
0X05FFC6,0XC7
0X05FFC7,0X0C
0X05FFC8,0XE3
0X05FFC9,0XD9
0X05FFCA,0X41
0X05FFCB,0X4E
0X05FFCC,0X15
0X05FFCD,0X6D
0X05FFCE,0X18
0X05FFCF,0X11
0X05FFD0,0X05
0X05FFD1,0X7F
0X05FFD2,0X28
0X05FFD3,0X3C
0X05FFD4,0X1E
0X05FFD5,0X29
0X05FFD6,0XE5
0X05FFD7,0X87
0X05FFD8,0X54
0X05FFD9,0XD7
0X05FFDA,0X17
0X05FFDB,0XB8
0X05FFDC,0X53
0X05FFDD,0X9C
0X05FFDE,0XF2
0X05FFDF,0X0F
0X05FFE0,0XC7
0X05FFE1,0X52
0X05FFE2,0X8A
0X05FFE3,0X96
0X05FFE4,0XBA
0X05FFE5,0XAE
0X05FFE6,0XF5
0X05FFE7,0X8E
0X05FFE8,0XC8
0X05FFE9,0X00
0X05FFEA,0X33
0X05FFEB,0X41
0X05FFEC,0X6D
0X05FFED,0XC7
0X05FFEE,0X37
0X05FFEF,0X50
0X05FFF0,0XE4
0X05FFF1,0XAE
0X05FFF2,0X5D
0X05FFF3,0X86
0X05FFF4,0XC7
0X05FFF5,0XF6
0X05FFF6,0XA9
0X05FFF7,0X71
0X05FFF8,0X8F
0X05FFF9,0XDF
0X05FFFA,0X11
0X05FFFB,0XF8
0X05FFFC,0XD0
0X05FFFD,0XC1
0X05FFFE,0X8B
0X05FFFF,0X07
0X06FF00,0XE7
0X06FF01,0XFE
0X06FF02,0XED
0X06FF03,0X96
0X06FF04,0X92
0X06FF05,0X1A
0X06FF06,0X10
0X06FF07,0X57
0X06FF08,0X09
0X06FF09,0X2A
0X06FF0A,0X3D
0X06FF0B,0X1B
0X06FF0C,0X2A
0X06FF0D,0X95
0X06FF0E,0X8B
0X06FF0F,0XEE
0X06FF10,0X55
0X06FF11,0X1E
0X06FF12,0XC0
0X06FF13,0X33
0X06FF14,0X89
0X06FF15,0X33
0X06FF16,0X74
0X06FF17,0X4C
0X06FF18,0XDD
0X06FF19,0XE8
0X06FF1A,0X1F
0X06FF1B,0XAB
0X06FF1C,0XC4
0X06FF1D,0X20
0X06FF1E,0XEE
0X06FF1F,0X97
0X06FF20,0X46
0X06FF21,0XE2
0X06FF22,0X69
0X06FF23,0X8D
0X06FF24,0X05
0X06FF25,0XC5
0X06FF26,0XC4
0X06FF27,0X17
0X06FF28,0X41
0X06FF29,0X68
0X06FF2A,0XC2
0X06FF2B,0X24
0X06FF2C,0XF2
0X06FF2D,0X8B
0X06FF2E,0XAF
0X06FF2F,0XB4
0X06FF30,0XCE
0X06FF31,0X19
0X06FF32,0X2E
0X06FF33,0XCC
0X06FF34,0X68
0X06FF35,0XD8
0X06FF36,0XD4
0X06FF37,0X6B
0X06FF38,0XD6
0X06FF39,0X47
0X06FF3A,0X25
0X06FF3B,0XD5
0X06FF3C,0XD6
0X06FF3D,0XFE
0X06FF3E,0X29
0X06FF3F,0XB1
0X06FF40,0XAF
0X06FF41,0XD5
0X06FF42,0X80
0X06FF43,0X52
0X06FF44,0X93
0X06FF45,0XE3
0X06FF46,0XC9
0X06FF47,0X79
0X06FF48,0X93
0X06FF49,0X73
0X06FF4A,0X07
0X06FF4B,0X8D
0X06FF4C,0X67
0X06FF4D,0XAE
0X06FF4E,0X3B
0X06FF4F,0XA9
0X06FF50,0XEE
0X06FF51,0X26
0X06FF52,0X1B
0X06FF53,0X33
0X06FF54,0XD9
0X06FF55,0XAA
0X06FF56,0X55
0X06FF57,0X3F
0X06FF58,0X97
0X06FF59,0X07
0X06FF5A,0X68
0X06FF5B,0XF2
0X06FF5C,0X38
0X06FF5D,0XB7
0X06FF5E,0X4B
0X06FF5F,0XB8
0X06FF60,0XF8
0X06FF61,0XFB
0X06FF62,0X75
0X06FF63,0X0E
0X06FF64,0X49
0X06FF65,0X86
0X06FF66,0XF4
0X06FF67,0XF8
0X06FF68,0X8D
0X06FF69,0X79
0X06FF6A,0XEC
0X06FF6B,0X1F
0X06FF6C,0X16
0X06FF6D,0XBA
0X06FF6E,0X31
0X06FF6F,0XCB
0X06FF70,0XD5
0X06FF71,0X4C
0X06FF72,0XC4
0X06FF73,0X54
0X06FF74,0XC4
0X06FF75,0X11
0X06FF76,0XFC
0X06FF77,0X76
0X06FF78,0X76
0X06FF79,0X55
0X06FF7A,0XC4
0X06FF7B,0X31
0X06FF7C,0XDC
0X06FF7D,0XFB
0X06FF7E,0X6D
0X06FF7F,0X7F
0X06FF80,0X5B
0X06FF81,0X1E
0X06FF82,0XAB
0X06FF83,0X98
0X06FF84,0XBC
0X06FF85,0X07
0X06FF86,0X6E
0X06FF87,0XA3
0X06FF88,0X05
0X06FF89,0X09
0X06FF8A,0XD2
0X06FF8B,0X2B
0X06FF8C,0X4D
0X06FF8D,0XCF
0X06FF8E,0X2A
0X06FF8F,0XF4
0X06FF90,0X2E
0X06FF91,0X18
0X06FF92,0X22
0X06FF93,0X4F
0X06FF94,0X5C
0X06FF95,0X61
0X06FF96,0XC1
0X06FF97,0XAB
0X06FF98,0XD6
0X06FF99,0XF0
0X06FF9A,0XB1
0X06FF9B,0X06
0X06FF9C,0X82
0X06FF9D,0X50
0X06FF9E,0X67
0X06FF9F,0XB9
0X06FFA0,0XD1
0X06FFA1,0X77
0X06FFA2,0XFD
0X06FFA3,0X50
0X06FFA4,0XC4
0X06FFA5,0X52
0X06FFA6,0X24
0X06FFA7,0X41
0X06FFA8,0XD3
0X06FFA9,0X80
0X06FFAA,0X1A
0X06FFAB,0X5D
0X06FFAC,0XB7
0X06FFAD,0X3B
0X06FFAE,0X81
0X06FFAF,0X1D
0X06FFB0,0X97
0X06FFB1,0X8D
0X06FFB2,0XB4
0X06FFB3,0XB5
0X06FFB4,0X44
0X06FFB5,0X3F
0X06FFB6,0X52
0X06FFB7,0X57
0X06FFB8,0X0E
0X06FFB9,0X57
0X06FFBA,0X32
0X06FFBB,0XD2
0X06FFBC,0X6C
0X06FFBD,0XC4
0X06FFBE,0XA5
0X06FFBF,0X11
0X06FFC0,0X49
0X06FFC1,0X81
0X06FFC2,0X6B
0X06FFC3,0XF4
0X06FFC4,0XD6
0X06FFC5,0X28
0X06FFC6,0XC1
0X06FFC7,0XE3
0X06FFC8,0X66
0X06FFC9,0XE4
0X06FFCA,0XD1
0X06FFCB,0XEC
0X06FFCC,0X6A
0X06FFCD,0X6A
0X06FFCE,0X95
0X06FFCF,0X04
0X06FFD0,0X36
0X06FFD1,0X53
0X06FFD2,0X6C
0X06FFD3,0XBE
0X06FFD4,0X5A
0X06FFD5,0X45
0X06FFD6,0X3A
0X06FFD7,0XC4
0X06FFD8,0XC4
0X06FFD9,0X77
0X06FFDA,0X59
0X06FFDB,0X55
0X06FFDC,0XB6
0X06FFDD,0X8B
0X06FFDE,0X5E
0X06FFDF,0X5B
0X06FFE0,0X11
0X06FFE1,0X9A
0X06FFE2,0XFE
0X06FFE3,0X44
0X06FFE4,0XB0
0X06FFE5,0XC0
0X06FFE6,0XAA
0X06FFE7,0X1C
0X06FFE8,0X09
0X06FFE9,0X06
0X06FFEA,0XC4
0X06FFEB,0XB8
0X06FFEC,0X17
0X06FFED,0X9B
0X06FFEE,0XC4
0X06FFEF,0XC4
0X06FFF0,0XED
0X06FFF1,0X91
0X06FFF2,0X86
0X06FFF3,0X2B
0X06FFF4,0XE8
0X06FFF5,0XEF
0X06FFF6,0XFE
0X06FFF7,0X76
0X06FFF8,0XDF
0X06FFF9,0X3E
0X06FFFA,0X13
0X06FFFB,0X59
0X06FFFC,0X91
0X06FFFD,0XC5
0X06FFFE,0X50
0X06FFFF,0X86
0X07FF00,0XC6
0X07FF01,0X86
0X07FF02,0X84
0X07FF03,0XC5
0X07FF04,0X3D
0X07FF05,0X1B
0X07FF06,0X8B
0X07FF07,0XC0
0X07FF08,0X88
0X07FF09,0X24
0X07FF0A,0X64
0X07FF0B,0X07
0X07FF0C,0XB4
0X07FF0D,0XCB
0X07FF0E,0X8B
0X07FF0F,0XC4
0X07FF10,0XEF
0X07FF11,0XD8
0X07FF12,0XE1
0X07FF13,0X9D
0X07FF14,0X87
0X07FF15,0XF8
0X07FF16,0X73
0X07FF17,0X31
0X07FF18,0XC9
0X07FF19,0XC5
0X07FF1A,0X58
0X07FF1B,0X56
0X07FF1C,0X9D
0X07FF1D,0X4C
0X07FF1E,0X4B
0X07FF1F,0X61
0X07FF20,0X38
0X07FF21,0XFC
0X07FF22,0X0A
0X07FF23,0XB5
0X07FF24,0XA4
0X07FF25,0X06
0X07FF26,0X4F
0X07FF27,0X4D
0X07FF28,0X39
0X07FF29,0XC5
0X07FF2A,0X7E
0X07FF2B,0X7D
0X07FF2C,0XCB
0X07FF2D,0XC8
0X07FF2E,0X64
0X07FF2F,0XC1
0X07FF30,0X0C
0X07FF31,0X81
0X07FF32,0XB9
0X07FF33,0XEB
0X07FF34,0XD1
0X07FF35,0X08
0X07FF36,0XDA
0X07FF37,0XB6
0X07FF38,0XED
0X07FF39,0X4A
0X07FF3A,0XDC
0X07FF3B,0XE3
0X07FF3C,0X0B
0X07FF3D,0X0A
0X07FF3E,0X1D
0X07FF3F,0X15
0X07FF40,0XDF
0X07FF41,0X4B
0X07FF42,0XCF
0X07FF43,0X4E
0X07FF44,0XE3
0X07FF45,0X6D
0X07FF46,0XC5
0X07FF47,0X39
0X07FF48,0XE7
0X07FF49,0XE4
0X07FF4A,0XA7
0X07FF4B,0X01
0X07FF4C,0XED
0X07FF4D,0XC5
0X07FF4E,0X1C
0X07FF4F,0X78
0X07FF50,0X6F
0X07FF51,0X9A
0X07FF52,0X1D
0X07FF53,0XF2
0X07FF54,0X10
0X07FF55,0XE8
0X07FF56,0X51
0X07FF57,0X43
0X07FF58,0X0B
0X07FF59,0XC5
0X07FF5A,0X57
0X07FF5B,0XA3
0X07FF5C,0X95
0X07FF5D,0XE9
0X07FF5E,0X01
0X07FF5F,0XC7
0X07FF60,0X94
0X07FF61,0XC5
0X07FF62,0XBF
0X07FF63,0XA8
0X07FF64,0XEB
0X07FF65,0X80
0X07FF66,0X3E
0X07FF67,0XF8
0X07FF68,0X87
0X07FF69,0X67
0X07FF6A,0X58
0X07FF6B,0XB9
0X07FF6C,0X45
0X07FF6D,0X88
0X07FF6E,0X34
0X07FF6F,0X15
0X07FF70,0XF4
0X07FF71,0X23
0X07FF72,0XB1
0X07FF73,0XC5
0X07FF74,0XC7
0X07FF75,0XE9
0X07FF76,0X0C
0X07FF77,0XC7
0X07FF78,0XDD
